;PV_openfield_north;PV_openfield_east;PV_openfield_middle;PV_openfield_swest;PV_rooftop_north;PV_rooftop_east;PV_rooftop_middle;PV_rooftop_swest;Wind_north;Wind_east;Wind_middle;Wind_swest;PV_openfield_north_scaled;PV_openfield_east_scaled;PV_openfield_middle_scaled;PV_openfield_swest_scaled;PV_rooftop_north_scaled;PV_rooftop_east_scaled;PV_rooftop_middle_scaled;PV_rooftop_swest_scaled;Wind_north_scaled;Wind_east_scaled;Wind_middle_scaled;Wind_swest_scaled;Solarthermal;Hydro_power
1647;0,0132;0,0189;0,0197;0,0168;0,0121;0,0173;0,018;0,0153;0,223985536;0,3498925;0,401636429;0,506343393;0,011014415;0,015202232;0,01586749;0,013635237;0,010984653;0,015154097;0,01578438;0,013509034;0,212832801;0,333403358;0,389088945;0,519350074;0;0,92
1648;0;0;0;0;0;0;0;0;0,216323929;0,388414821;0,427516964;0,546841071;0;0;0;0;0;0;0;0;0,205552682;0,370110265;0,41416095;0,560888035;0;0,92
1649;0;0;0;0;0;0;0;0;0,176839286;0,393405;0,383035536;0,513093393;0;0;0;0;0;0;0;0;0,168034067;0,374865275;0,371069161;0,526273464;0;0,92
1650;0;0;0;0;0;0;0;0;0,126988571;0,361719107;0,292013036;0,429242321;0;0;0;0;0;0;0;0;0,12066553;0,344672621;0,282890286;0,440268471;0;0,92
1651;0;0;0;0;0;0;0;0;0,085969821;0,295922321;0,23220875;0,396854821;0;0;0;0;0;0;0;0;0,081689194;0,281976595;0,22495434;0,407049018;0;0,92
1652;0;0;0;0;0;0;0;0;0,084105714;0,270376429;0,220536786;0,394051607;0;0;0;0;0;0;0;0;0,079917905;0,257634586;0,213647018;0,404173796;0;0,92
1653;0;0;0;0;0;0;0;0;0,174261786;0,250546786;0,241431071;0,389939821;0;0;0;0;0;0;0;0;0,165584906;0,238739441;0,233888548;0,399956389;0;0,92
1654;0;0;0;0;0;0;0;0;0,2649875;0,248162321;0,284924107;0,43528125;0;0;0;0;0;0;0;0;0,251793187;0,236467348;0,276022822;0,446462524;0;0,92
1655;0;0;0;0;0;0;0;0;0,307745714;0,27926;0,319928929;0,480191071;0;0;0;0;0;0;0;0;0,292422375;0,266099507;0,309934061;0,492525965;0;0,92
1656;0;0;0;0;0;0;0;0;0,32927625;0,325222679;0,351103036;0,492601607;0;0;0;0;0;0;0;0;0,312880858;0,309896135;0,340134261;0,505255296;0;0,92
