;('Import_Oil_n', 'Oil_fuel_n');('Import_Synthetic_fuel_n', 'Oil_fuel_n');('Oil_fuel_n', 'Material_demand_Oil_n');('Oil_fuel_n', 'Mobility_demand_total_n');('Oil_fuel_n', 'Oil_demand_total_n');('Oil_fuel_n', 'excess_b_oil_fuel_n');('PtL_n', 'Oil_fuel_n')
;flow;flow;flow;flow;flow;flow;flow
2030-01-10 11:00:00;310,45;0,0;15,8;265,84;28,8;0,0;0,0
2030-01-10 12:00:00;308,91;0,0;15,8;265,84;27,26;0,0;0,0
2030-01-10 13:00:00;308,8;0,0;15,8;265,84;27,16;0,0;0,0
2030-01-10 14:00:00;309,57;0,0;15,8;265,84;27,93;0,0;0,0
2030-01-10 15:00:00;309,74;0,0;15,8;265,84;28,1;0,0;0,0
2030-01-10 16:00:00;308,64;0,0;15,8;265,84;26,99;0,0;0,0
2030-01-10 17:00:00;308,52;0,0;15,8;265,84;26,88;0,0;0,0
2030-01-10 18:00:00;308,39;0,0;15,8;265,84;26,74;0,0;0,0
2030-01-10 19:00:00;308,62;0,0;15,8;265,84;26,98;0,0;0,0
2030-01-10 20:00:00;308,58;0,0;15,8;265,84;26,93;0,0;0,0
2030-01-10 21:00:00;308,71;0,0;15,8;265,84;27,07;0,0;0,0
2030-01-10 22:00:00;308,87;0,0;15,8;265,84;27,23;0,0;0,0
2030-01-10 23:00:00;309,05;0,0;15,8;265,84;27,41;0,0;0,0
2030-01-11 00:00:00;309,94;0,0;15,8;265,84;28,3;0,0;0,0
2030-01-11 01:00:00;310,24;0,0;15,8;265,84;28,59;0,0;0,0
2030-01-11 02:00:00;310,87;0,0;15,8;265,84;29,23;0,0;0,0
2030-01-11 03:00:00;311,2;0,0;15,8;265,84;29,56;0,0;0,0
2030-01-11 04:00:00;311,69;0,0;15,8;265,84;30,05;0,0;0,0
2030-01-11 05:00:00;312,02;0,0;15,8;265,84;30,38;0,0;0,0
2030-01-11 06:00:00;312,52;0,0;15,8;265,84;30,87;0,0;0,0
2030-01-11 07:00:00;312,96;0,0;15,8;265,84;31,32;0,0;0,0
2030-01-11 08:00:00;313,68;0,0;15,8;265,84;32,04;0,0;0,0
2030-01-11 09:00:00;314,32;0,0;15,8;265,84;32,68;0,0;0,0
2030-01-11 10:00:00;313,83;0,0;15,8;265,84;32,19;0,0;0,0
2030-01-11 11:00:00;312,09;0,0;15,8;265,84;30,45;0,0;0,0
2030-01-11 12:00:00;310,87;0,0;15,8;265,84;29,23;0,0;0,0
2030-01-11 13:00:00;311,03;0,0;15,8;265,84;29,39;0,0;0,0
2030-01-11 14:00:00;312,18;0,0;15,8;265,84;30,54;0,0;0,0
2030-01-11 15:00:00;312,54;0,0;15,8;265,84;30,9;0,0;0,0
2030-01-11 16:00:00;311,42;0,0;15,8;265,84;29,77;0,0;0,0
2030-01-11 17:00:00;311,57;0,0;15,8;265,84;29,93;0,0;0,0
2030-01-11 18:00:00;312,06;0,0;15,8;265,84;30,42;0,0;0,0
2030-01-11 19:00:00;312,61;0,0;15,8;265,84;30,97;0,0;0,0
2030-01-11 20:00:00;313,21;0,0;15,8;265,84;31,57;0,0;0,0
2030-01-11 21:00:00;313,69;0,0;15,8;265,84;32,05;0,0;0,0
2030-01-11 22:00:00;314,35;0,0;15,8;265,84;32,71;0,0;0,0
2030-01-11 23:00:00;315,05;0,0;15,8;265,84;33,4;0,0;0,0
2030-01-12 00:00:00;315,94;0,0;15,8;265,84;34,29;0,0;0,0
2030-01-12 01:00:00;316,87;0,0;15,8;265,84;35,23;0,0;0,0
2030-01-12 02:00:00;318,01;0,0;15,8;265,84;36,36;0,0;0,0
2030-01-12 03:00:00;318,68;0,0;15,8;265,84;37,03;0,0;0,0
2030-01-12 04:00:00;319,33;0,0;15,8;265,84;37,68;0,0;0,0
2030-01-12 05:00:00;319,96;0,0;15,8;265,84;38,31;0,0;0,0
2030-01-12 06:00:00;320,57;0,0;15,8;265,84;38,93;0,0;0,0
2030-01-12 07:00:00;321,17;0,0;15,8;265,84;39,53;0,0;0,0
2030-01-12 08:00:00;321,26;0,0;15,8;265,84;39,61;0,0;0,0
2030-01-12 09:00:00;320,24;0,0;15,8;265,84;38,6;0,0;0,0
2030-01-12 10:00:00;319,22;0,0;15,8;265,84;37,58;0,0;0,0
2030-01-12 11:00:00;317,89;0,0;15,8;265,84;36,25;0,0;0,0
2030-01-12 12:00:00;316,98;0,0;15,8;265,84;35,34;0,0;0,0
2030-01-12 13:00:00;316,71;0,0;15,8;265,84;35,06;0,0;0,0
2030-01-12 14:00:00;316,66;0,0;15,8;265,84;35,01;0,0;0,0
2030-01-12 15:00:00;317,18;0,0;15,8;265,84;35,54;0,0;0,0
2030-01-12 16:00:00;317,99;0,0;15,8;265,84;36,35;0,0;0,0
2030-01-12 17:00:00;318,23;0,0;15,8;265,84;36,59;0,0;0,0
2030-01-12 18:00:00;318,65;0,0;15,8;265,84;37,0;0,0;0,0
2030-01-12 19:00:00;319,09;0,0;15,8;265,84;37,44;0,0;0,0
2030-01-12 20:00:00;319,55;0,0;15,8;265,84;37,91;0,0;0,0
2030-01-12 21:00:00;319,86;0,0;15,8;265,84;38,22;0,0;0,0
2030-01-12 22:00:00;320,33;0,0;15,8;265,84;38,69;0,0;0,0
2030-01-12 23:00:00;320,82;0,0;15,8;265,84;39,18;0,0;0,0
2030-01-13 00:00:00;320,98;0,0;15,8;265,84;39,34;0,0;0,0
2030-01-13 01:00:00;320,94;0,0;15,8;265,84;39,3;0,0;0,0
2030-01-13 02:00:00;320,68;0,0;15,8;265,84;39,04;0,0;0,0
2030-01-13 03:00:00;320,54;0,0;15,8;265,84;38,89;0,0;0,0
2030-01-13 04:00:00;320,37;0,0;15,8;265,84;38,73;0,0;0,0
2030-01-13 05:00:00;320,18;0,0;15,8;265,84;38,53;0,0;0,0
2030-01-13 06:00:00;319,8;0,0;15,8;265,84;38,16;0,0;0,0
2030-01-13 07:00:00;319,56;0,0;15,8;265,84;37,92;0,0;0,0
2030-01-13 08:00:00;318,97;0,0;15,8;265,84;37,33;0,0;0,0
2030-01-13 09:00:00;314,2;0,0;15,8;265,84;32,56;0,0;0,0
2030-01-13 10:00:00;309,17;0,0;15,8;265,84;27,53;0,0;0,0
2030-01-13 11:00:00;304,1;0,0;15,8;265,84;22,46;0,0;0,0
2030-01-13 12:00:00;300,16;0,0;15,8;265,84;18,52;0,0;0,0
2030-01-13 13:00:00;300,38;0,0;15,8;265,84;18,74;0,0;0,0
2030-01-13 14:00:00;299,55;0,0;15,8;265,84;17,9;0,0;0,0
2030-01-13 15:00:00;297,59;0,0;15,8;265,84;15,94;0,0;0,0
2030-01-13 16:00:00;299,59;0,0;15,8;265,84;17,95;0,0;0,0
2030-01-13 17:00:00;300,43;0,0;15,8;265,84;18,79;0,0;0,0
2030-01-13 18:00:00;301,21;0,0;15,8;265,84;19,56;0,0;0,0
2030-01-13 19:00:00;302,05;0,0;15,8;265,84;20,4;0,0;0,0
